"statepuma","stab","pumaname","dem12","rep12","dem16","rep16","propR12","propR16","changeinR","changeinpropR"
"5401100","WV","Greenbrier, Nicholas, Summers, Monroe & Pocahontas Counties",12700,24317,9390,29503,0.656914390685361,0.758568379914123,5186,0.101653989228763
"4701200","TN","Greene, Carter, Unicoi & Johnson Counties",14410,42391,9919,46541,0.746307283322477,0.824318101310662,4150,0.0780108179881857
"1802700","IN","Greene, Daviess, Owen, Orange & Martin Counties",19679,40658,13814,48510,0.673848550640569,0.778351838777999,7852,0.10450328813743
"4501600","SC","Greenwood, Abbeville & McCormick Counties",19168,24796,16931,26376,0.564006914748431,0.609047036275891,1580,0.0450401215274602
"4701400","TN","Hamblen, Cocke & Grainger Counties",9706,28451,7210,32274,0.745629897528632,0.817394387600041,3823,0.0717644900714088
"3902400","OH","Hancock & Putnam Counties",16882,36164,12531,39144,0.681747916902311,0.757503628447025,2980,0.0757557115447135
"1802500","IN","Hancock & Shelby Counties",14678,33774,13151,37792,0.697061008833485,0.741848732897552,4018,0.0447877240640675
"5151215","VA","Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties",36729,73696,37133,75468,0.667385103011094,0.670224953597215,1772,0.00283985058612135
"5400200","WV","Harrison, Marion, Taylor & Doddridge Counties",21207,33900,16511,40509,0.615166857205074,0.710434935110487,6609,0.0952680779054137
"1301300","GA","Heart of Georgia Altamaha Regional Commission (North & West)",18747,34340,16003,35574,0.646862697082148,0.689726040677046,1234,0.0428633435948979
"1301200","GA","Heart of Georgia Altamaha Regional Commission (Southeast)",15252,36792,12331,38407,0.706940281300438,0.756967164649769,1615,0.0500268833493314
"4803700","TX","Heart of Texas COG (Outside McLennan County) & Navarro County",14560,40154,12760,43704,0.733888949811748,0.774015301785208,3550,0.0401263519734599
"3702500","NC","Henderson & Transylvania Counties",25468,42628,26385,46329,0.625998590225564,0.63714002805512,3701,0.0111414378295561
"4702900","TN","Henderson, Hardeman, McNairy, Hardin, Haywood & Decatur Counties",18983,33021,14060,35511,0.634970386893316,0.71636642391721,2490,0.0813960370238938
"1700202","IL","Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties",40806,38668,29644,46939,0.48654906006996,0.612916704751707,8271,0.126367644681747
"1801500","IN","Henry, Randolph, Jay & Blackford Counties",16372,24412,10702,30459,0.598568065908199,0.739996598722091,6047,0.141428532813892
"3905200","OH","Highland, Clinton & Adams Counties",15816,30284,10165,36517,0.656919739696312,0.782250117818431,6233,0.125330378122119
"3705200","NC","Hoke, Richmond & Scotland Counties",28195,21982,25546,24399,0.438089164358172,0.488517369106017,2417,0.0504282047478445
"3902900","OH","Holmes, Guernsey & Coshocton Counties",16998,26085,10160,30950,0.605459229858645,0.752858185356361,4865,0.147398955497716
"4805000","TX","Houston-Galveston Area Council (West)",19010,42325,17793,45008,0.690062770033423,0.716676486043216,2683,0.0266137160097929
"4804400","TX","Houston-Galveston Area Council--Liberty & Chambers Counties",7992,29110,7810,32231,0.784593822435448,0.804949926325516,3121,0.0203561038900681
"0102500","AL","Houston, Dale, Geneva & Henry Counties--Dothan City",22775,57181,18894,60162,0.71515583570964,0.761004857316333,2981,0.0458490216066925
"1801300","IN","Howard, Cass & Tipton Counties--Kokomo City",22938,33543,16561,38965,0.593881128166994,0.701743327450204,5422,0.107862199283209
"2902500","MO","Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties",14911,37869,9128,45237,0.717487684729064,0.832097857077164,7368,0.1146101723481
"4800900","TX","Hunt & Rockwall Counties--Rockwall, Greenville & Dallas (Far Northeast) Cities",14791,48124,16051,52361,0.764905030596837,0.765377419166228,4237,0.000472388569391136
"1800900","IN","Huntington, Whitley, Adams & Wells Counties",16258,39313,12276,42660,0.707437332421587,0.77653997378768,3347,0.0691026413660935
"3902100","OH","Huron & Ashland Counties",19287,28579,12932,33719,0.597062633184306,0.722792651818825,5140,0.125730018634519
"0500400","AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",14157,37007,11386,41809,0.723301540145415,0.78595732681643,4802,0.0626557866710155
"4201900","PA","Indiana & Armstrong Counties",23518,41399,18706,48372,0.637722014264368,0.721130624049614,6973,0.0834086097852456
"2601100","MI","Ionia, Montcalm, Mecosta & Osceola Counties",33944,43253,24758,51183,0.560293793800277,0.673983750543185,7930,0.113689956742908
"2601300","MI","Iosco, Gladwin, Roscommon, Ogemaw & Arenac Counties",26660,29765,17840,36387,0.527514399645547,0.671012595201652,6622,0.143498195556105
